Date,DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
07/01/2020,20170701,2017-07-01,7,Saturday,1,182,26,July,7,3,2017,2,1,2018,1
07/02/2020,20170702,2017-07-02,1,Sunday,2,183,27,July,7,3,2017,2,1,2018,1
07/03/2020,20170703,2017-07-03,2,Monday,3,184,27,July,7,3,2017,2,1,2018,1
07/04/2020,20170704,2017-07-04,3,Tuesday,4,185,27,July,7,3,2017,2,1,2018,1
07/05/2020,20170705,2017-07-05,4,Wednesday,5,186,27,July,7,3,2017,2,1,2018,1
07/06/2020,20170706,2017-07-06,5,Thursday,6,187,27,July,7,3,2017,2,1,2018,1
07/07/2020,20170707,2017-07-07,6,Friday,7,188,27,July,7,3,2017,2,1,2018,1
07/08/2020,20170708,2017-07-08,7,Saturday,8,189,27,July,7,3,2017,2,1,2018,1
07/09/2020,20170709,2017-07-09,1,Sunday,9,190,28,July,7,3,2017,2,1,2018,1
07/10/2020,20170710,2017-07-10,2,Monday,10,191,28,July,7,3,2017,2,1,2018,1
07/11/2020,20170711,2017-07-11,3,Tuesday,11,192,28,July,7,3,2017,2,1,2018,1
07/12/2020,20170712,2017-07-12,4,Wednesday,12,193,28,July,7,3,2017,2,1,2018,1
07/13/2020,20170713,2017-07-13,5,Thursday,13,194,28,July,7,3,2017,2,1,2018,1
07/14/2020,20170714,2017-07-14,6,Friday,14,195,28,July,7,3,2017,2,1,2018,1
07/15/2020,20170715,2017-07-15,7,Saturday,15,196,28,July,7,3,2017,2,1,2018,1
07/16/2020,20170716,2017-07-16,1,Sunday,16,197,29,July,7,3,2017,2,1,2018,1
07/17/2020,20170717,2017-07-17,2,Monday,17,198,29,July,7,3,2017,2,1,2018,1
07/18/2020,20170718,2017-07-18,3,Tuesday,18,199,29,July,7,3,2017,2,1,2018,1
07/19/2020,20170719,2017-07-19,4,Wednesday,19,200,29,July,7,3,2017,2,1,2018,1
07/20/2020,20170720,2017-07-20,5,Thursday,20,201,29,July,7,3,2017,2,1,2018,1
07/21/2020,20170721,2017-07-21,6,Friday,21,202,29,July,7,3,2017,2,1,2018,1
07/22/2020,20170722,2017-07-22,7,Saturday,22,203,29,July,7,3,2017,2,1,2018,1
07/23/2020,20170723,2017-07-23,1,Sunday,23,204,30,July,7,3,2017,2,1,2018,1
07/24/2020,20170724,2017-07-24,2,Monday,24,205,30,July,7,3,2017,2,1,2018,1
07/25/2020,20170725,2017-07-25,3,Tuesday,25,206,30,July,7,3,2017,2,1,2018,1
07/26/2020,20170726,2017-07-26,4,Wednesday,26,207,30,July,7,3,2017,2,1,2018,1
07/27/2020,20170727,2017-07-27,5,Thursday,27,208,30,July,7,3,2017,2,1,2018,1
07/28/2020,20170728,2017-07-28,6,Friday,28,209,30,July,7,3,2017,2,1,2018,1
07/29/2020,20170729,2017-07-29,7,Saturday,29,210,30,July,7,3,2017,2,1,2018,1
07/30/2020,20170730,2017-07-30,1,Sunday,30,211,31,July,7,3,2017,2,1,2018,1
07/31/2020,20170731,2017-07-31,2,Monday,31,212,31,July,7,3,2017,2,1,2018,1
08/01/2020,20170801,2017-08-01,3,Tuesday,1,213,31,August,8,3,2017,2,1,2018,1
08/02/2020,20170802,2017-08-02,4,Wednesday,2,214,31,August,8,3,2017,2,1,2018,1
08/03/2020,20170803,2017-08-03,5,Thursday,3,215,31,August,8,3,2017,2,1,2018,1
08/04/2020,20170804,2017-08-04,6,Friday,4,216,31,August,8,3,2017,2,1,2018,1
08/05/2020,20170805,2017-08-05,7,Saturday,5,217,31,August,8,3,2017,2,1,2018,1
08/06/2020,20170806,2017-08-06,1,Sunday,6,218,32,August,8,3,2017,2,1,2018,1
08/07/2020,20170807,2017-08-07,2,Monday,7,219,32,August,8,3,2017,2,1,2018,1
08/08/2020,20170808,2017-08-08,3,Tuesday,8,220,32,August,8,3,2017,2,1,2018,1
08/09/2020,20170809,2017-08-09,4,Wednesday,9,221,32,August,8,3,2017,2,1,2018,1
08/10/2020,20170810,2017-08-10,5,Thursday,10,222,32,August,8,3,2017,2,1,2018,1
08/11/2020,20170811,2017-08-11,6,Friday,11,223,32,August,8,3,2017,2,1,2018,1
08/12/2020,20170812,2017-08-12,7,Saturday,12,224,32,August,8,3,2017,2,1,2018,1
08/13/2020,20170813,2017-08-13,1,Sunday,13,225,33,August,8,3,2017,2,1,2018,1
08/14/2020,20170814,2017-08-14,2,Monday,14,226,33,August,8,3,2017,2,1,2018,1
08/15/2020,20170815,2017-08-15,3,Tuesday,15,227,33,August,8,3,2017,2,1,2018,1
08/16/2020,20170816,2017-08-16,4,Wednesday,16,228,33,August,8,3,2017,2,1,2018,1
08/17/2020,20170817,2017-08-17,5,Thursday,17,229,33,August,8,3,2017,2,1,2018,1
08/18/2020,20170818,2017-08-18,6,Friday,18,230,33,August,8,3,2017,2,1,2018,1
08/19/2020,20170819,2017-08-19,7,Saturday,19,231,33,August,8,3,2017,2,1,2018,1
08/20/2020,20170820,2017-08-20,1,Sunday,20,232,34,August,8,3,2017,2,1,2018,1
08/21/2020,20170821,2017-08-21,2,Monday,21,233,34,August,8,3,2017,2,1,2018,1
08/22/2020,20170822,2017-08-22,3,Tuesday,22,234,34,August,8,3,2017,2,1,2018,1
08/23/2020,20170823,2017-08-23,4,Wednesday,23,235,34,August,8,3,2017,2,1,2018,1
08/24/2020,20170824,2017-08-24,5,Thursday,24,236,34,August,8,3,2017,2,1,2018,1
08/25/2020,20170825,2017-08-25,6,Friday,25,237,34,August,8,3,2017,2,1,2018,1
08/26/2020,20170826,2017-08-26,7,Saturday,26,238,34,August,8,3,2017,2,1,2018,1
08/27/2020,20170827,2017-08-27,1,Sunday,27,239,35,August,8,3,2017,2,1,2018,1
08/28/2020,20170828,2017-08-28,2,Monday,28,240,35,August,8,3,2017,2,1,2018,1
08/29/2020,20170829,2017-08-29,3,Tuesday,29,241,35,August,8,3,2017,2,1,2018,1
08/30/2020,20170830,2017-08-30,4,Wednesday,30,242,35,August,8,3,2017,2,1,2018,1
08/31/2020,20170831,2017-08-31,5,Thursday,31,243,35,August,8,3,2017,2,1,2018,1
09/01/2020,20170901,2017-09-01,6,Friday,1,244,35,September,9,3,2017,2,1,2018,1
09/02/2020,20170902,2017-09-02,7,Saturday,2,245,35,September,9,3,2017,2,1,2018,1
