SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDate,DueDate,ShipDate,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductStandardCost,SalesAmount,TaxAmount,FreightAmount
SO43697,1,21768,310,7/1/2020,7/11/2020,7/8/2020,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43698,1,28389,346,7/1/2020,7/11/2020,7/8/2020,7,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43699,1,25863,346,7/1/2020,7/11/2020,7/8/2020,1,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43700,1,14501,336,7/1/2020,7/11/2020,7/8/2020,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43701,1,11003,346,7/1/2020,7/11/2020,7/8/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43702,1,27645,311,7/1/2020,7/11/2020,7/8/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43703,1,16624,310,7/1/2020,7/11/2020,7/8/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43704,1,11005,351,7/1/2020,7/11/2020,7/8/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43705,1,11011,344,7/1/2020,7/11/2020,7/8/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43706,1,27621,312,7/2/2020,7/12/2020,7/9/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43707,1,27616,312,7/2/2020,7/12/2020,7/9/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43708,1,20042,330,7/2/2020,7/12/2020,7/9/2020,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43709,1,16351,313,7/2/2020,7/12/2020,7/9/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43710,1,16517,314,7/2/2020,7/12/2020,7/9/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43711,1,27606,314,7/2/2020,7/12/2020,7/9/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43712,1,13513,311,7/2/2020,7/12/2020,7/9/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43713,1,27601,310,7/3/2020,7/13/2020,7/10/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43714,1,13591,311,7/3/2020,7/13/2020,7/10/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43715,1,16483,314,7/3/2020,7/13/2020,7/10/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43716,1,16529,311,7/3/2020,7/13/2020,7/10/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43717,1,25249,336,7/3/2020,7/13/2020,7/10/2020,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43718,1,27668,311,7/3/2020,7/13/2020,7/10/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
