SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDate,DueDate,ShipDate,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductStandardCost,SalesAmount,TaxAmount,FreightAmount
SO45345,1,15048,313,1/1/2021,1/11/2021,1/8/2021,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45346,1,28648,312,1/1/2021,1/11/2021,1/8/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45347,1,14733,342,1/1/2021,1/11/2021,1/8/2021,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45348,1,19562,311,1/1/2021,1/11/2021,1/8/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45349,1,19568,312,1/1/2021,1/11/2021,1/8/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45350,1,19613,311,1/1/2021,1/11/2021,1/8/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45351,1,12520,313,1/2/2021,1/12/2021,1/9/2021,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45352,1,15081,313,1/2/2021,1/12/2021,1/9/2021,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45353,1,28630,310,1/2/2021,1/12/2021,1/9/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45354,1,19432,340,1/2/2021,1/12/2021,1/9/2021,8,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45355,1,28778,312,1/2/2021,1/12/2021,1/9/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45356,1,19096,313,1/2/2021,1/12/2021,1/9/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45357,1,28443,351,1/3/2021,1/13/2021,1/10/2021,7,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO45358,1,23172,312,1/3/2021,1/13/2021,1/10/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45359,1,11227,313,1/3/2021,1/13/2021,1/10/2021,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45360,1,28036,313,1/3/2021,1/13/2021,1/10/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45361,1,23057,312,1/3/2021,1/13/2021,1/10/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45362,1,19271,313,1/3/2021,1/13/2021,1/10/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45363,1,19565,312,1/3/2021,1/13/2021,1/10/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45364,1,14161,311,1/4/2021,1/14/2021,1/11/2021,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45365,1,15078,313,1/4/2021,1/14/2021,1/11/2021,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45366,1,18011,330,1/4/2021,1/14/2021,1/11/2021,7,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45367,1,20561,328,1/4/2021,1/14/2021,1/11/2021,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45368,1,14732,328,1/4/2021,1/14/2021,1/11/2021,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45369,1,19269,314,1/4/2021,1/14/2021,1/11/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45370,1,19270,312,1/4/2021,1/14/2021,1/11/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45371,1,15062,310,1/5/2021,1/15/2021,1/12/2021,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45372,1,28449,348,1/5/2021,1/15/2021,1/12/2021,7,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO45373,1,25994,349,1/5/2021,1/15/2021,1/12/2021,1,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO45374,1,22996,312,1/5/2021,1/15/2021,1/12/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45375,1,19596,313,1/5/2021,1/15/2021,1/12/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45376,1,11761,344,1/5/2021,1/15/2021,1/12/2021,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO45377,1,15077,313,1/6/2021,1/16/2021,1/13/2021,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45378,1,28178,310,1/6/2021,1/16/2021,1/13/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45379,1,28363,313,1/6/2021,1/16/2021,1/13/2021,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45380,1,18010,324,1/6/2021,1/16/2021,1/13/2021,7,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45381,1,19988,344,1/6/2021,1/16/2021,1/13/2021,6,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO45382,1,11129,313,1/6/2021,1/16/2021,1/13/2021,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45383,1,14734,332,1/6/2021,1/16/2021,1/13/2021,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45384,1,26789,338,1/6/2021,1/16/2021,1/13/2021,6,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45385,1,14735,334,1/6/2021,1/16/2021,1/13/2021,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO45386,1,19607,312,1/6/2021,1/16/2021,1/13/2021,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45387,1,11224,310,1/7/2021,1/17/2021,1/14/2021,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO45388,1,25986,350,1/7/2021,1/17/2021,1/14/2021,1,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO45389,1,11090,310,1/7/2021,1/17/2021,1/14/2021,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
