SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDate,DueDate,ShipDate,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductStandardCost,SalesAmount,TaxAmount,FreightAmount,
SO63294,1,12582,535,1/1/2023,1/11/2023,1/8/2023,9,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63295,1,19608,538,1/1/2023,1/11/2023,1/8/2023,9,1,21.49,8.0373,21.49,1.7192,0.5373,
SO63295,2,19608,529,1/1/2023,1/11/2023,1/8/2023,9,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63296,1,24911,528,1/1/2023,1/11/2023,1/8/2023,9,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63296,2,24911,217,1/1/2023,1/11/2023,1/8/2023,9,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63296,3,24911,488,1/1/2023,1/11/2023,1/8/2023,9,1,53.99,41.5723,53.99,4.3192,1.3498,
SO63296,4,24911,225,1/1/2023,1/11/2023,1/8/2023,9,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63297,1,12715,528,1/1/2023,1/11/2023,1/8/2023,9,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63297,2,12715,480,1/1/2023,1/11/2023,1/8/2023,9,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63298,1,14185,374,1/1/2023,1/11/2023,1/8/2023,7,1,2443.35,1554.9479,2443.35,195.468,61.0838,
SO63298,2,14185,540,1/1/2023,1/11/2023,1/8/2023,7,1,32.6,12.1924,32.6,2.608,0.815,
SO63298,3,14185,529,1/1/2023,1/11/2023,1/8/2023,7,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63298,4,14185,472,1/1/2023,1/11/2023,1/8/2023,7,1,63.5,23.749,63.5,5.08,1.5875,
SO63299,1,15061,593,1/1/2023,1/11/2023,1/8/2023,7,1,564.99,308.2179,564.99,45.1992,14.1248,
SO63299,2,15061,222,1/1/2023,1/11/2023,1/8/2023,7,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63300,1,17187,363,1/1/2023,1/11/2023,1/8/2023,7,1,2294.99,1251.9813,2294.99,183.5992,57.3748,
SO63300,2,17187,478,1/1/2023,1/11/2023,1/8/2023,7,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63300,3,17187,477,1/1/2023,1/11/2023,1/8/2023,7,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63301,1,15924,355,1/1/2023,1/11/2023,1/8/2023,7,1,2319.99,1265.6195,2319.99,185.5992,57.9998,
SO63301,2,15924,485,1/1/2023,1/11/2023,1/8/2023,7,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63301,3,15924,231,1/1/2023,1/11/2023,1/8/2023,7,1,49.99,38.4923,49.99,3.9992,1.2498,
SO63302,1,16824,357,1/1/2023,1/11/2023,1/8/2023,8,1,2319.99,1265.6195,2319.99,185.5992,57.9998,
SO63302,2,16824,217,1/1/2023,1/11/2023,1/8/2023,8,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63302,3,16824,225,1/1/2023,1/11/2023,1/8/2023,8,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63303,1,11467,535,1/1/2023,1/11/2023,1/8/2023,9,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63304,1,11519,539,1/1/2023,1/11/2023,1/8/2023,6,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63304,2,11519,529,1/1/2023,1/11/2023,1/8/2023,6,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63304,3,11519,225,1/1/2023,1/11/2023,1/8/2023,6,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63304,4,11519,228,1/1/2023,1/11/2023,1/8/2023,6,1,49.99,38.4923,49.99,3.9992,1.2498,
SO63305,1,11519,530,1/1/2023,1/11/2023,1/8/2023,6,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63305,2,11519,214,1/1/2023,1/11/2023,1/8/2023,6,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63306,1,26712,541,1/1/2023,1/11/2023,1/8/2023,4,1,28.99,10.8423,28.99,2.3192,0.7248,
SO63306,2,26712,530,1/1/2023,1/11/2023,1/8/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63306,3,26712,225,1/1/2023,1/11/2023,1/8/2023,4,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63307,1,11300,535,1/1/2023,1/11/2023,1/8/2023,6,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63307,2,11300,528,1/1/2023,1/11/2023,1/8/2023,6,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63308,1,25254,528,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63308,2,25254,535,1/1/2023,1/11/2023,1/8/2023,1,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63308,3,25254,485,1/1/2023,1/11/2023,1/8/2023,1,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63309,1,18756,536,1/1/2023,1/11/2023,1/8/2023,6,1,29.99,11.2163,29.99,2.3992,0.7498,
SO63309,2,18756,528,1/1/2023,1/11/2023,1/8/2023,6,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63309,3,18756,484,1/1/2023,1/11/2023,1/8/2023,6,1,7.95,2.9733,7.95,0.636,0.1988,
SO63310,1,15378,474,1/1/2023,1/11/2023,1/8/2023,6,1,69.99,26.1763,69.99,5.5992,1.7498,
SO63311,1,25147,477,1/1/2023,1/11/2023,1/8/2023,6,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63311,2,25147,222,1/1/2023,1/11/2023,1/8/2023,6,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63312,1,24665,477,1/1/2023,1/11/2023,1/8/2023,6,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63312,2,24665,487,1/1/2023,1/11/2023,1/8/2023,6,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63312,3,24665,228,1/1/2023,1/11/2023,1/8/2023,6,1,49.99,38.4923,49.99,3.9992,1.2498,
SO63313,1,16677,477,1/1/2023,1/11/2023,1/8/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63313,2,16677,225,1/1/2023,1/11/2023,1/8/2023,4,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63314,1,15945,528,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63314,2,15945,480,1/1/2023,1/11/2023,1/8/2023,1,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63315,1,27451,528,1/1/2023,1/11/2023,1/8/2023,6,1,4.99,1.8663,4.99,0.3992,0.1248,
